County_Name,state_abbr,State Identifier,Obesity_Prevalence,Hispanic,Asian,Black,White,food_access,inactivity,poverty,Metro_Values,Metro_Nonmetro,GEOID
Siskiyou County,CA,6,0.230,0.128,0.015,0.015,0.840,0.437,0.215,0.189,0,Nonmetropolitan,06093
Solano County,CA,6,0.270,0.269,0.153,0.139,0.505,0.406,0.209,0.111,1,Metropolitan,06095
Sonoma County,CA,6,0.226,0.272,0.042,0.016,0.747,0.314,0.159,0.102,1,Metropolitan,06097
Stanislaus County,CA,6,0.295,0.468,0.056,0.028,0.698,0.272,0.229,0.171,1,Metropolitan,06099
Sutter County,CA,6,0.248,0.313,0.153,0.019,0.637,0.569,0.220,0.153,1,Metropolitan,06101
Tehama County,CA,6,0.246,0.255,0.015,0.007,0.823,0.556,0.219,0.184,0,Nonmetropolitan,06103
Trinity County,CA,6,0.215,0.074,0.016,0.010,0.853,0.236,0.197,0.196,0,Nonmetropolitan,06105
Tulare County,CA,6,0.321,0.649,0.035,0.016,0.698,0.329,0.248,0.237,1,Metropolitan,06107
Tuolumne County,CA,6,0.219,0.124,0.012,0.018,0.863,0.333,0.191,0.139,0,Nonmetropolitan,06109
Ventura County,CA,6,0.229,0.429,0.071,0.018,0.725,0.341,0.192,0.102,1,Metropolitan,06111
Yolo County,CA,6,0.242,0.313,0.138,0.026,0.643,0.209,0.177,0.175,1,Metropolitan,06113
Yuba County,CA,6,0.259,0.275,0.071,0.032,0.694,0.356,0.204,0.184,1,Metropolitan,06115
